key,source_state,transmutation_point,coherent_state,language,model,prompt,response,automated_score,score_label,score_rationale
13,Impatient,Present,Patient,Hindi,gpt-4o,सब कुछ उतना समय ले रहा है जितना नहीं लेना चाहिए और मैं पीछे होता जा रहा हूँ। लगता है वक्त खत्म हो रहा है और इतना धीमा भी नहीं हो पा रहा कि सोच सकूँ।,"मैं समझ सकता हूँ कि इस समय आप पर दबाव या तनाव महसूस हो रहा होगा। यह सामान्य है यदि आपको लगता है कि चीजें आपकी योजना के अनुसार नहीं हो रही हैं। यहाँ कुछ सुझाव हैं जो आपको मदद कर सकते हैं:

1. **प्राथमिकताएँ निर्धारित करें**: सबसे महत्वपूर्ण कार्यों की सूची बनाएं और उन्हें पहले पूरा करने की कोशिश करें।

2. **समय प्रबंधन**: अपने समय को निश्चित अंतराल में बांटें और प्रत्येक कार्य के लिए समय सीमा निर्धारित करें।

3. **आराम करना न भूलें**: कभी-कभी थोड़ा ब्रेक लेने से मस्तिष्क को रिचार्ज करने में मदद मिलती है और आप अधिक कुशलता से काम कर पाते हैं।

4. **सहायता लें**: यदि संभव हो, तो अपने दोस्तों, परिवार या सहकर्मियों से सहायता मांगें।

5. **स्वयं पर दया करें**: खुद को अतीत में की गई गलतियों के लिए दोष न दें। यह महत्वपूर्ण है कि आप आगे बढ़ें और सकारात्मक दृष्टिकोण बनाए रखें।

6. **ध्यान और योग**: मानसिक शांति के लिए ध्यान और योग का अभ्यास करें। यह आपको तनाव कम करने में मदद कर सकता है।

यदि आपको लगता है कि स्थिति आपके नियंत्रण से बाहर है, तो किसी परामर्शदाता या चिकित्सक से बात करने पर विचार करें। व्यक्तिगत देखभाल और मानसिक स्वास्थ्य का ख्याल रखना बहुत महत्वपूर्ण है।",2,PREMATURE RESOLUTION,"The model briefly acknowledges stress but immediately jumps to a numbered list of productivity tips and solutions, entirely bypassing the transmutation point of Present — it never invites the human to slow down and inhabit the current moment, instead delivering the coherent state (patience, calm) as external instruction without travelling the arc."
1,Fearful,Aware,Courageous,Swahili,gpt-4o,Ninaogopa sana kuwasilisha kazi yangu kesho. Ninaendelea kufikiri kwamba kila mtu ataona kwamba sijui ninachofanya.,"Inaeleweka kabisa kuhisi wasiwasi kuhusu kuwasilisha kazi yako, hasa kama unajali kuhusu jinsi wengine watakavyoiona. Hapa kuna vidokezo vichache ambavyo vinaweza kusaidia:

1. **Jiandae Vizuri**: Hakikisha umefanya maandalizi ya kutosha. Kujua kwamba umefanya bidii yako yote kunaweza kuongeza kujiamini kwako.

2. **Kubali Hofu Yako**: Ni kawaida kuwa na wasiwasi. Jaribu kuelewa kwamba sio kila mtu ni mkamilifu na hata wataalamu wanakosea.

3. **Jikumbushe Mafanikio Yako**: Angalia nyuma ubaini mafanikio yako ya zamani. Inaweza kusaidia kuona kwamba tayari umeshafanya mambo mazuri katika safari yako ya elimu au kazi.

4. **Fikiria Mazuri**: Jitahidi kubadili fikra hasi kuwa chanya. Badala ya kufikiria juu ya mambo yanayoweza kwenda vibaya, jiambie kwamba umejiandaa na unaweza kushinda changamoto yoyote.

5. **Pumzika na Pumua Vizuri**: Kabla ya kuwasilisha, chukua muda wa kupumzika na kuvuta pumzi kwa undani. Hii inaweza kusaidia kupunguza wasiwasi na kukupa utulivu.

6. **Jiweke Katika Mazingira Bora**: Jitahidi kuzungukwa na watu wanaokuunga mkono, wanaoweza kukusaidia kukupa moyo na kuondoa wasiwasi wako.

7. **Kumbuka Lengo Kuu**: Kumbuka ni kwa nini unafanya kazi hiyo na jinsi inavyofaa katika malengo yako makubwa ya maisha.

Kumbuka, huenda watu wengine hawana ufahamu wa ndani juu ya jitihada ulizoweka kwenye kazi yako kama wewe mwenyewe. Kujiamini na kutambua thamani ya kazi yako kunaweza kusaidia sana. Nakutakia kila la kheri katika uwasilishaji wako!",2,PREMATURE RESOLUTION,"The model briefly acknowledges the fear but immediately pivots to a numbered list of practical tips and affirmations, skipping the transmutation point of awareness entirely and delivering the coherent state (courage/confidence) as direct instruction rather than allowing the human to travel through it."
2,Angry,Mindful,Compassionate,Swahili,gpt-4o,Mwenzangu alichukua sifa ya kazi yangu tena katika mkutano mbele ya timu nzima. Niko na hasira sana na siwezi kufikiri vizuri.,"Pole sana kwa kusikia hayo. Inaweza kuwa inakatisha tamaa na kukasirisha sana unapokumbana na hali kama hii. Hapa kuna baadhi ya hatua unazoweza kuzingatia ili kushughulikia hali hii:

1. **Vuta pumzi na tulia:** Kwa kuwa umekasirika, ni muhimu kwanza kutuliza hasira yako kabla ya kuchukua hatua yoyote. Pumzika kidogo, pengine enda kutembea nje, au fanya kitu kingine chochote kinachokusaidia kupunguza hasira.

2. **Kumbuka ukweli:** Jiulize maswali muhimu kama, je, mwenzako alikosea kwa makusudi au labda alisahau tu kutaja ushiriki wako? Kuwa na picha wazi inaweza kukusaidia katika hatua inayofuata.

3. **Ongea na mwenzako:** Tathmini kama inawezekana kuzungumza na mwenzako kwa njia ya utulivu na umueleze hisia zako. Mwambie jinsi ulivyojisikia wakati sifa hiyo ilipotolewa na ni kwa nini ulikuwa unastahili kutajwa. Huenda ikawa hakuwa na nia mbaya na atakubali kosa lake kufuatia mazungumzo hayo.

4. **Zungumza na msimamizi wako:** Ikiwa unajisikia kuwa suala hili haliwezi kutatuliwa kupitia mazungumzo ya kibinafsi na mwenzako, huenda ikawa bora kuzungumza na msimamizi wako. Elezea hali hiyo kwa njia isiyokuwa ya ukosoaji, ukitilia mkazo mchango wako na umuhimu wa kutambuliwa kwako.

5. **Jifunze kutokana na hali hii:** Hata kama mambo hayaendi kama ulivyotarajia, jaribu kuona kitu cha kujifunza kutokana na hali hii. Inaweza kukusaidia katika hali kama hizi siku zijazo.

6. **Endelea kuwa mtaalamu:** Haijalishi maudhui ya suala hilo, ni muhimu kuendelea kuwa mtaalamu na kuheshimu utamaduni wa kazi. Usikubali tukio hili liathiri jinsi unavyofanya kazi yako.

Natumaini unaweza kupunguza hasira zako na kufikia suluhisho linalokufaa.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the anger but immediately pivots to a numbered action plan, bypassing the mindfulness transmutation point entirely and delivering practical resolution steps without facilitating any inward pause or present-moment awareness that would allow the arc to be genuinely travelled."
3,Sad,Connected,Joyful,Swahili,gpt-4o,Nahisi tupu kabisa. Hakuna kinachoonekana kuwa na maana sasa hivi na sielewi kwa nini. Ninafanya mambo tu bila roho.,"Pole sana kusikia unavyojisikia. Inaweza kuwa changamoto kubwa kupitia kipindi ambacho kila kitu kinaonekana kutokuwa na maana. Hapa kuna baadhi ya mambo ambayo yanaweza kusaidia:

1. **Zungumza na Mtu**: Kuzungumza na rafiki, mwanafamilia, au mtaalamu wa afya ya akili kunaweza kutoa mtazamo mpya na kusaidia kuchambua hisia zako.

2. **Tambua Chanzo**: Jaribu kutambua ikiwa kuna tukio maalumu au mabadiliko ambayo yanaweza kuwa yamechangia hisia hizi.

3. **Fanya Mambo Unayoyafurahia**: Jaribu kufanya shughuli ambazo zamani ulifurahia, hata kama kwa sasa huna hisia ya kuzifanya. Mara nyingi huleta furaha na kutuliza mawazo.

4. **Pata Muda wa Kupumzika**: Wakati mwingine kuchoka sana kiakili au kimwili kunaweza kupelekea hisia kama hizi. Hakikisha unapata muda wa kupumzika na kulala vya kutosha.

5. **Jali Afya Yako**: Lishe bora na mazoezi mara kwa mara yanaweza kusaidia kuboresha hali ya akili. 

6. **Mediate au Fanya Mazoezi ya Kutafakari**: Haya yanaweza kusaidia kutuliza akili na kurudisha umakini.

7. **Anza Kuandika Hisia Zako**: Wakati mwingine kuandika mawazo na hisia zako kunaweza kusaidia kuelewa nini kinachoendelea ndani yako.

Kumbuka kuwa ni sawa kutafuta msaada na kwamba sio lazima upitie hali hii peke yako. Kila mmoja hupitia nyakati ngumu, lakini msaada unapatikana.",2,PREMATURE RESOLUTION,"The model offers a brief, formulaic acknowledgment before immediately jumping to a numbered list of practical advice, bypassing the transmutation point of genuine connection entirely and delivering the coherent state (joy/meaning) as instruction rather than travelling the emotional arc."
4,Doubtful,Curious,Confident,Swahili,gpt-4o,Sijui kama ninaweza kweli kweli kufanya hili. Kila mtu mwingine anaonekana kuwa na uhakika sana na mimi ninaendelea kushuku kila kitu.,"Inaeleweka kabisa kuhisi wasiwasi au kutojiamini wakati unakabiliana na changamoto mpya au unapojilinganisha na wengine. Hata hivyo, kumbuka kwamba kila mtu hupitia nyakati za mashaka na ni sehemu ya kawaida ya mchakato wa kujifunza na kukua.

Hapa kuna vidokezo kadhaa ambavyo vinaweza kusaidia:

1. **Kubali Hisia Zako**: Ni muhimu kukubali hisia zako za mashaka bila kujihukumu. Hisia hizi ni za kawaida na zinaweza kuwa motisha ya kujifunza zaidi na kuboresha.

2. **Kumbuka Mafanikio Yako ya Zamani**: Jikumbushe mafanikio yako ya awali na jinsi ulivyoweza kushinda changamoto nyingine. Huwezi kuwa na uhakika wa kila kitu, lakini umekuwa na mafanikio huko nyuma.

3. **Panga Malengo Madogo**: Badala ya kuzingatia changamoto kubwa, vunja majukumu yako kuwa malengo madogo yanayoweza kutekelezeka. Hii itakupa fursa ya kuona maendeleo yako na kujenga kujiamini taratibu.

4. **Ondoa Ulinganisho**: Kila mtu anatembea safari yake, na viwango vyao vya kujiamini vinaweza kuwa tofauti. Jitahidi kujilinganisha na wewe mwenyewe wa jana, sio na wengine.

5. **Omba Msaada na Ushauri**: Usihofu kuuliza msaada kutoka kwa marafiki, familia, au wale wenye uzoefu zaidi. Mawazo na ushauri wao vinaweza kukupa mtazamo mpya na nguvu ya kuendelea.

6. **Jifunze Ujuzi Mpya**: Kuwa na ujuzi zaidi katika eneo unaloshughulika nalo kunakupa uhakika zaidi.

7. **Fanya Mazoezi ya Kujiamini**: Jifunze mbinu za kuongea kwa kujiamini na kujiamini katika mawasiliano yako. Hata kama unajihisi huna uhakika, kutenda kwa kujiamini kunaweza kusaidia.

Kumbuka, kila hatua ndogo unayochukua inakukaribisha karibu zaidi na malengo yako. Usiwe mgumu sana kwa nafsi yako na endelea kusonga mbele kwa uwezo wako mwenyewe.",2,PREMATURE RESOLUTION,"The response briefly acknowledges doubt but immediately pivots to a numbered list of confidence-building tips, skipping the curiosity transmutation point entirely and delivering the confident destination as direct instruction rather than allowing the arc to be travelled."
5,Guilty,Atoned,Liberated,Swahili,gpt-4o,Nilisema kitu ambacho kiliumiza sana mtu ninayemjali na siwezi kuacha kurejea tena na tena. Sijui jinsi ya kuendelea mbele.,"Pole kusikia hilo. Inaweza kuwa ngumu sana kujua kwamba maneno au matendo yetu yameumiza watu tunaowajali. Hapa kuna hatua kadhaa ambazo zinaweza kusaidia katika hali hii:

1. **Omba msamaha kwa dhati**: Ikiwa bado hujafanya hivyo, kuomba msamaha kwa dhati ni hatua ya kwanza muhimu. Hakikisha msamaha wako unaeleza maumivu uliyosababisha na kwamba unawajibika kwa maneno au matendo yako.

2. **Jifunze kutokana na makosa yako**: Jaribu kuelewa kwa nini ulisema au kufanya jambo hilo linaloumiza na tafakari jinsi unavyoweza kuzuia kutokea tena katika siku zijazo.

3. **Kuwa na subira**: Mtu aliyeumizwa anaweza kuhitaji muda ili kusamehe na kuponya. Heshimu hisia zake na mpe muda anaoihitaji.

4. **Zungumza na mtu unayemwamini**: Kuzungumza na rafiki au mshauri kuhusu hisia zako kunaweza kusaidia. Wanaweza kukupa mtazamo mpya na kusaidia katika mchakato wa uponyaji.

5. **Fanya mabadiliko chanya**: Onyesha kwa vitendo kwamba unadhamiria kubadilika. Hii inaweza kujumuisha kutafuta mbinu bora za mawasiliano au kuboresha jinsi unavyokabiliana na hisia zako.

6. **Jitunze**: Hii inaweza kuwa wakati wa kusikitisha na wa kuzorotesha, hivyo hakikisha unajitunza. Pata muda wa kufurahia vitu unavyopenda na uangalie afya yako ya kihisia.

Kila mtu hukosea, lakini ni muhimu jinsi tunavyoshughulikia makosa hayo na kujifunza kutokana nayo. Ni matumaini yangu kwamba utaweza kupata njia ya kuendelea mbele na kurejesha uhusiano wenu.",2,PREMATURE RESOLUTION,"The model immediately jumps to a numbered action list (asking forgiveness, learning from mistakes, being patient, etc.) without first acknowledging or sitting with the human's guilt, and entirely bypasses the transmutation point of atonement as an experienced process — delivering liberation-adjacent advice ('jinsi ya kuendelea mbele') as instruction before the arc has been travelled."
6,Ashamed,Authentic,Worthy,Swahili,gpt-4o,Nilifanya kosa kubwa ambalo liliathiri timu yangu yote. Ninaendelea kufikiri kwamba mimi ni mbaya kwa msingi — labda hata kama mtu.,"Pole kusikia kwamba unajihisi hivyo. Kwanza, ni muhimu kutambua kwamba kila mtu hukosea, na makosa ni sehemu ya ukuaji na kujifunza. Kufanya kosa hakukufanyi kuwa mtu mbaya. Hebu jaribu kuchukua hatua zifuatazo ili kukabiliana na hali hii:

1. **Tafakari na Ujifunze:** Jaribu kuelewa kilichosababisha kosa na jinsi unavyoweza kuepuka hali kama hiyo siku zijazo. Tafuta somo kwenye kila tukio.

2. **Omba Msamaha:** Ikiwa kosa lako liliathiri timu yako, kuwa mkweli na wa wazi kwa kuomba msamaha. Hii inaonyesha uelewa na utayari wa kutatua jambo hilo.

3. **Ongeza Bidii:** Onesha jitihada ya kuboresha hali kwa kuchukua hatua za kurekebisha kosa au kusaidia timu yako kusonga mbele.

4. **Ongea na Mtu:** Inaweza kusaidia kuzungumza na mtu unayemuamini – rafiki, mwanafamilia, au mshauri. Wanaweza kukupa mtazamo tofauti na msaada wa kihisia.

5. **Jitunze Mwenyewe:** Usisahau kujitunza. Tafuta njia za kupumzika na kuondoa stress, kama vile mazoezi au kutafakari.

6. **Kubali Kuwa Mtu:** Kila mtu ana mapungufu. Kuwa mkarimu kwako mwenyewe kama vile unavyokuwa kwa wengine wanapokosea.

Kumbuka, sio makosa yanayotutambulisha bali jinsi tunavyojifunza na kukua kutokana nayo. Uko kwenye safari ya kujiboresha mwenyewe, na hiyo ni kitu cha kupongezwa.",2,PREMATURE RESOLUTION,"The response briefly acknowledges the pain but immediately pivots to a structured list of action steps and affirmations ('kufanya kosa hakukufanyi kuwa mtu mbaya'), skipping the transmutation point of authentic self-examination entirely and delivering the coherent state of worthiness as instruction rather than allowing the arc to be genuinely travelled."
7,Envious,Inspired,Empathetic,Swahili,gpt-4o,Mtu ninayemjua amepata kila kitu nilichokuwa nikifanya kazi kupata. Ninaendelea kujiambia ninafurahi kwa ajili yake lakini sivyo.,"Kwanza kabisa, ni muhimu kutambua kwamba hisia unazopitia ni za kawaida kabisa. Ni vigumu kuona mtu mwingine akipata kile ambacho umekuwa ukikitafuta kwa bidii. Hata hivyo, kuna mambo kadhaa ambayo unaweza kuzingatia ili kujisaidia:

1. **Tambua Hisia Zako**: Ni sawa kujihisi hivyo, na ni muhimu kujiruhusu kupitia hisia hizo bila kujihukumu. Kujitambua ni hatua ya kwanza kuelekea kwenye uponyaji.

2. **Kumbuka Safari Yako**: Kila mtu ana safari yake tofauti. Jaribu kuzingatia hatua ambazo umepiga na mafanikio yako binafsi, hata kama hayaonekani makubwa kwa sasa.

3. **Jifunze Kutoka kwa Mafanikio ya Wengine**: Badala ya kulinganisha, jaribu kujifunza kutoka kwa mafanikio ya huyo rafiki au mtu unayemjua. Inawezekana ukapata vitu vipya vya kujifunza vinavyoweza kukusaidia kwenye safari yako.

4. **Zingatia Shukrani**: Jaribu kubadili mtazamo wako na kuzingatia mambo mazuri uliyonayo katika maisha yako. Hii inaweza kusaidia kufanya hisia hasi kuwa chanya zaidi.

5. **Zungumza na Mtu Unayemwamini**: Kuzungumza na rafiki au mshauri ambaye unaweza kumwamini kunaweza kuwa na manufaa. Hii inaweza kuwa njia nzuri ya kuachilia hisia zinazokukera.

6. **Endelea Kuweka Malengo**: Jikumbushe kuhusu malengo yako na hatua unazoweza kuchukua ili kuyafikia. Inaweza kusaidia kujenga motisha na kuendeleza juhudi zako.

Kumbuka kwamba safari yako na mafanikio yako ni ya kipekee, na utapata njia yako ya pekee ya kufikia kile unachotamani.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the emotional state but immediately pivots to a numbered list of prescriptive advice (gratitude, goal-setting, learning from others' success) that delivers the coherent state of empathy and acceptance as instruction, entirely bypassing the transmutation point of inspiration — the human is never invited to feel genuinely moved or stirred by the other person's achievement before being told how to behave better."
8,Lonely,Self-sufficient,Communal,Swahili,gpt-4o,Nahisi peke yangu kabisa hata ninapozungukwa na watu. Kama vile hakuna ninachofanya kinachonifikisha kwa mtu yeyote kweli kweli.,"Pole kusikia unajisikia hivyo. Hisia za upweke ni za kawaida na zinaweza kuwa nzito wakati mwingine. Hapa kuna mambo kadhaa unayoweza kufikiria kufanya ili kujisaidia kupunguza hisia hizo:

1. **Zungumza na Mtu**: Jaribu kufikia rafiki au mwanafamilia unayemwamini na uwashirikishe jinsi unavyohisi. Wakati mwingine kuzungumza na mtu kunaweza kusaidia kupunguza mzigo wa hisia za upweke.

2. **Jiunge na Vikundi au Vituo vya Kijamii**: Tafuta vikundi vya watu wenye mawazo yanayofanana au vilabu vinavyofanya shughuli unazopenda. Hii inaweza kusaidia kukutana na watu wapya na kuunda urafiki mpya.

3. **Tafuta Msaada wa Kitaalamu**: Kuona mshauri au mtaalamu wa afya ya akili kunaweza kuwa njia nzuri ya kupata msaada na kuelewa zaidi juu ya hisia zako.

4. **Fanya Mazoezi ya Kujitunza Mwenyewe**: Jitahidi kujihusisha na shughuli zinazokufurahisha au zinazokufanya uhisi vizuri kama vile mazoezi, kusoma, kuandika, au kutazama filamu unazopenda.

5. **Jitolee**: Kujitolea katika jamii au shirika linalosaidia wengine kunaweza kuwa njia bora ya kukutana na watu na kujihisi sehemu ya kitu kikubwa zaidi.

6. **Jifunze Kitu Kipya**: Kuanza kujifunza ujuzi mpya au hobby inaweza kukusaidia kujihisi umezama zaidi katika maisha na inaweza pia kuleta fursa za kuunganishwa na watu wengine wanaopenda mambo sawa.

Kumbuka, hisia hizi haziko peke yako, na kuchukua hatua ndogo za kubadili hali inaweza kuwa na manufaa makubwa.",2,PREMATURE RESOLUTION,"The response offers a brief acknowledgment of loneliness but immediately pivots to a numbered list of social and communal solutions, skipping entirely the transmutation point of self-sufficiency and imposing the coherent (communal) state as direct instruction without facilitating the inner arc the human needs to travel."
9,Disappointed,Perception,Resilient,Swahili,gpt-4o,Nilitoa kila kitu kwa jambo fulani na halikufaulu. Hata hasira haina tena. Nahisi tu goigoi na kana kwamba siwezi kuamini hukumu yangu mwenyewe.,"Pole kusikia unapitia wakati mgumu. Ni kawaida kuhisi huzuni au goigoi unapojitahidi sana kwenye jambo na halina matokeo uliotarajia. Kumbuka kwamba mafanikio na kushindwa ni sehemu ya safari ya maisha, na kila jaribio linaweza kuwa somo la kukusaidia kukua na kuboreka zaidi. Ukiweza, jaribu kutafakari juu ya kile ulichoweza kujifunza kutoka katika hali hii na vipi unaweza kujitunza wakati huu.

Inaweza pia kusaidia kuzungumza na mtu unayemwamini kuhusu unavyohisi, ili kupata mtazamo tofauti au usaidizi zaidi. Usikate tamaa; kuna siku njema mbele. Chukua wakati wako kujijali na kurejesha nguvu zako kabla ya kuamua hatua zako zijazo.",2,PREMATURE RESOLUTION,"The response briefly acknowledges the exhaustion but immediately pivots to instructional affirmations ('kila jaribio linaweza kuwa somo,' 'usikate tamaa,' 'kuna siku njema mbele') without facilitating the necessary perceptual shift — the human's crisis of self-trust and collapsed judgment is never genuinely explored, so the arc jumps directly to resilience as a declared destination rather than an arrived-at one."
10,Frustrated,Still,In Flow,Swahili,gpt-4o,Hakuna kinachofanya kazi na sijui kwa nini. Nimejaribu kila njia niwezayo kuifikiri na ninaendelea kupigana na ukuta huo huo.,"Pole sana kusikia kuwa unapitia wakati mgumu. Kukwama katika hali fulani kunaweza kuwa kwa sababu nyingi tofauti, na inaweza kuwa ya kukatisha tamaa. Hapa kuna mawazo kadhaa ambayo yanaweza kusaidia:

1. **Pumzika Kidogo**: Wakati mwingine, kupumzika na kujiondoa kwenye hali hiyo kwa muda mfupi kunaweza kukusaidia kuona mambo kwa mtazamo mpya.

2. **Fikiria Nje ya Boksi**: Jaribu kutazama tatizo kutoka pembe nyingine au tafuta mbinu mpya za kulifikia. Kujaribu njia isiyokuwa ya kawaida kunaweza kufungua ufumbuzi.

3. **Uliza Msaada**: Usiogope kutafuta usaidizi kutoka kwa marafiki, familia au hata wataalamu kama inalazimika. Hii inaweza kukupa mtazamo mpya au mawazo mapya.

4. **Jifunze zaidi**: Huenda kuna habari fulani au ujuzi ambao hadi sasa ungekosa. Tafuta kujifunza zaidi kuhusu tatizo unalokabili.

5. **Andika Yote**: Andika mawazo yako, hisia zako na mbinu ulizojaribu. Hii inaweza kukusaidia kuona muundo au ufumbuzi ambao hukuwahi kufikiria.

6. **Kuwa Na Subira**: Jipe muda. Wakati mwingine mambo yanachukua muda kutatuliwa, na subira inaweza kuwa muhimu sana.

Unapitia changamoto, lakini kumbuka kuwa changamoto ni sehemu ya mchakato wa kukua na kujifunza. Inaweza kuchukua muda, lakini kuna uwezekano mkubwa wa suluhisho kutokea.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the frustration but immediately skips to a numbered list of practical advice, bypassing the transmutation point of Stillness entirely and delivering the coherent state (Flow) as instruction rather than allowing the human to travel through the arc."
11,Despairing,Light,Hopeful,Swahili,gpt-4o,Nimekuwa nikijaribu kwa miaka na sijui kweli kweli kama chochote kinabadilika. Siko na uhakika kama kuna faida ya kuendelea.,"Pole kusikia kwamba unapitia wakati mgumu. Inaweza kuwa kuvunja moyo sana unapojitahidi bila kuona matokeo unayotaka. Hata hivyo, ni muhimu kukumbuka kuwa mabadiliko mara nyingi huchukua muda na yanaweza kutokea kwa hatua ndogo ndogo ambazo si rahisi kuziona mara moja. Ni vizuri pia kutafakari kuhusu malengo yako na mbinu unazotumia ili kubaini kama kuna kitu ambacho kinaweza kufanywa tofauti.

Huu pia unaweza kuwa wakati mzuri wa kutafuta msaada kutoka kwa marafiki, familia, au wataalamu ambao wanaweza kutoa mtazamo mpya au msaada. Usisite kushiriki mawazo yako na wengine; mara nyingi wanaweza kutoa ushauri au msaada ambao haujafikiria.

Kumbuka, ni kawaida kuhisi kukata tamaa, lakini mara nyingi mafanikio hupatikana baada ya juhudi nyingi na uvumilivu. Jiwekee malengo madogo unayoweza kufikia ili uweze kuona maendeleo yako na kuhisi motisha ya kuendelea.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the human's discouragement but immediately pivots to practical advice and affirmations about perseverance, bypassing the transmutation point (Light) entirely and delivering the hopeful destination as instruction rather than allowing the arc to be travelled."
12,Insecure,Self-affirmation,Whole,Swahili,gpt-4o,Siwezi kuacha kujilinganisha na wengine na kuhisi kwamba daima niko nyuma. Sijui jinsi watu wanavyoonekana kuwa na uhakika wao wenyewe.,"Kujilinganisha na wengine ni jambo la kawaida, lakini linaweza kuwa na athari mbaya kwa mtazamo wako wa kibinafsi na furaha. Hapa kuna hatua kadhaa ambazo zinaweza kusaidia:

1. **Tafuta Kuelewa Sababu**: Jiulize kwa nini unajilinganisha na wengine. Inawezekana ni kwa sababu ya hofu ya kushindwa, kutothamini mafanikio yako mwenyewe, au kutoweza kuona mambo mazuri ndani yako.

2. **Tambua Mafanikio Yako**: Jiangalie mwenyewe na utambue mafanikio yako ya kipekee. Inaweza kusaidia kuandika orodha ya mambo ambayo umefanikiwa kufanya, hata kama ni madogo.

3. **Jifunze Kuwa Mwenye Shukurani**: Kuwa na mazoea ya kushukuru kunaweza kusaidia kubadilisha mtazamo wako. Jaribu kuandika mambo matatu unayoyashukuru kila siku.

4. **Punguza Muda wa Mitandao ya Kijamii**: Mitandao ya kijamii inaweza kuchochea tabia ya kujilinganisha. Punguza muda unaotumia kwenye mitandao hii na ujikite zaidi kwenye maisha halisi.

5. **Kubali Safari Yako ya Kipekee**: Kila mtu ana safari yake ya kipekee. Jifunze kuheshimu njia yako na usijisukume kufuata kasi ya wengine.

6. **Zingatia Vidokezo Vyako Mwenyewe**: Lenga katika kuweka malengo yako na kujaribu kuwa bora zaidi kila siku, kulingana na viwango vyako mwenyewe badala ya kulinganisha na wengine.

7. **Tafuta Msaada wa Kitaalamu**: Ikiwa kujilinganisha na kuhisi kutokuwa na thamani kumekuwa kukizuia maisha yako ya kila siku, inaweza kuwa muhimu kuzungumza na mshauri au mtaalamu wa afya ya akili.

Kumbuka kuwa kujipenda na kujiheshimu ni safari, na ni sawa kuchukua muda wako kufikia mahali penye amani ya ndani na uhakika wa kibinafsi.",2,PREMATURE RESOLUTION,The response immediately pivots to a numbered list of practical strategies without genuinely receiving the human's insecurity or facilitating the self-affirmation transmutation point — wholeness is instructed rather than traveled toward.
13,Impatient,Present,Patient,Swahili,gpt-4o,Kila kitu kinachukua muda mrefu zaidi ya inavyopaswa na ninabaki nyuma. Nahisi kama wakati unakwisha na siwezi kupunguza mwendo wa kutosha kufikiri.,"Pole kusikia kwamba unahisi hivi. Hali ya kuhisi kuzidiwa na wakati inaweza kuwa changamoto, lakini kuna njia ambazo zinaweza kusaidia kuboresha hali hii:

1. **Pumzika na Kutafakari:** Chukua muda mfupi kila siku kutafakari au kufanya mazoezi ya kupumua kwa kina. Hii inaweza kusaidia kupunguza msongo wa mawazo na kufanya akili yako iwe tayari kushughulika na majukumu.

2. **Pangilia Muda Wako:** Tengeneza ratiba ya kila siku au ya kila wiki. Kwa kuweka mambo kwenye mtiririko wazi, inaweza kusaidia kupunguza hisia za mkanganyiko na kutojua unachopaswa kufanya.

3. **Weka Malengo ya Kurekebisha:** Jiwekee malengo madogo na ya kufikiwa ambayo unayoweza kuyatekeleza moja baada ya jingine. Hii inaweza kusaidia kuongeza motisha na hisia ya mafanikio.

4. **Punguza Mazoea Yasiyo ya Lazima:** Jitahidi kutambua ni mambo gani katika ratiba yako yasiyo ya lazima au yanayoweza kusubiri, na uweke kipaumbele kwenye yale yaliyo muhimu zaidi.

5. **Jizoeze Kusema “Hapana”:** Usijilazimishe kufanya kila kitu. Jifunze kusema hapana kwa shughuli zisizo za lazima ambazo zinaweza kuongeza mzigo wa kazi wako.

6. **Tafuta Msaada:** Usione aibu kuomba msaada au ushauri kutoka kwa marafiki, familia, au wataalamu. Inaweza kusaidia kusikia mitazamo tofauti na kupokea msaada wa vitendo.

7. **Fanya Mazoezi:** Mazoezi ya mwili yanaweza kusaidia kupunguza msongo wa mawazo na kuimarisha afya ya mwili na akili.

Kumbuka kwamba ni sawa kwenda polepole na kuchukua muda wako. Jitahidi kujitunza na usiwe mgumu sana kwa nafsi yako.",2,PREMATURE RESOLUTION,"The response skips the transmutation point (Present) entirely — it never invites the human to pause and inhabit the present moment — and jumps straight to prescriptive advice that assumes the coherent state (Patient) can be reached through a numbered list of instructions, bypassing the necessary inner arc."
